Category Name,Course Name,Course URL,First Instructor,Course Description,# of Students,# of Ratings
Data Science,"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,NaN,None,"1,300,766","65,743"
Data Science,Marketing Analytics Foundation,https://www.coursera.org/learn/marketing-analytics-foundation,NaN,None,"35,681","1,126"
Data Science,Data Analysis with R,https://www.coursera.org/specializations/statistics,NaN,"In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.","8,884","5,540"
Data Science,Practical Data Science on the AWS Cloud,https://www.coursera.org/specializations/practical-data-science,Antje Barth,"Development environments might not have the exact requirements as production environments. Moving data science and machine learning projects from idea to production requires state-of-the-art skills. You need to architect and implement your projects for scale and operational efficiency. Data science is an interdisciplinary field that combines domain knowledge with mathematics, statistics, data visualization, and programming skills.

The Practical Data Science Specialization brings together these disciplines using purpose-built ML tools in the AWS cloud. It helps you develop the practical skills to effectively deploy your data science projects and overcome challenges at each step of the ML workflow using Amazon SageMaker.

This Specialization is designed for data-focused developers, scientists, and analysts familiar with the Python and SQL programming languages who want to learn how to build, train, and deploy scalable, end-to-end ML pipelines - both automated and human-in-the-loop - in the AWS cloud.

Each of the 10 weeks features a comprehensive lab developed specifically for this Specialization that provides hands-on experience with state-of-the-art algorithms for natural language processing (NLP) and natural language understanding (NLU), including BERT and FastText using Amazon SageMaker.","13,097",385
Data Science,Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,Sandip Saha Joy,None,"140,512","4,434"
Data Science,Learn SQL Basics for Data Science,https://www.coursera.org/specializations/learn-sql-basics-data-science,Sadie St. Lawrence,"This Specialization is intended for a learner with no previous coding experience seeking to develop SQL query fluency. Through four progressively more difficult SQL projects with data science applications, you will cover topics such as SQL basics, data wrangling, SQL analysis, AB testing, distributed computing using Apache Spark, Delta Lake and more. These topics will prepare you to apply SQL creatively to analyze and explore data; demonstrate efficiency in writing queries; create data analysis datasets; conduct feature engineering, use SQL with other data analysis and machine learning toolsets; and use SQL with unstructured data sets.","165,939","7,882"
Data Science,Excel Skills for Data Analytics and Visualization,https://www.coursera.org/specializations/excel-data-analytics-visualization,Nicky Bull,"As data becomes the modern currency, so the ability to quickly and accurately analyse data has become of paramount importance. Therefore, data analytics and visualization are two of the most sought after skills for high paying jobs with strong future growth prospects. According to an IBM report, the Excel tools for data analytics and visualization are among the top 10 competencies projected to show double-digit growth in their demand. This course will help you develop your analytical and visualization skills so that you not only improve your current work performance but also expand your future job prospects. For those in business and data analysis who want to master advanced Excel and beginner Power BI , that will add an asset to your employability portfolio.

Upon completing this specialization, you will be able to bring data to life using advanced Excel functions, creative visualizations, and powerful automation features. These courses will equip you with a comprehensive set of tools for transforming, linking, and analysing data. You will master a broad range of charts and create stunning interactive dashboards. Finally, you will explore a new dimension in Excel with PowerPivot, Get and Transform, and DAX. Harnessing the power of an underlying database engine, we will remove the 1,048,576 row limitation, completely automate data transformation, create data models to effectively link data, and open the gateway to Power Business Intelligence.","45,730","2,082"
Data Science,Business Analytics,https://www.coursera.org/specializations/business-analytics,Eric Bradlow,"This Specialization provides an introduction to big data analytics for all business professionals, including those with no prior analytics experience. You’ll learn how data analysts describe, predict, and inform business decisions in the specific areas of marketing, human resources, finance, and operations, and you’ll develop basic data literacy and an analytic mindset that will help you make strategic decisions based on data. In the final Capstone Project, you’ll apply your skills to interpret a real-world data set and make appropriate business strategy recommendations.","150,615","15,406"
Data Science,Big Data,https://www.coursera.org/specializations/big-data,Ilkay Altintas,"Drive better business decisions with an overview of how big data is organized, analyzed, and interpreted. Apply your insights to real-world problems and questions.

*********

Do you need to understand big data and how it will impact your business? This Specialization is for you. You will gain an understanding of what insights big data can provide through hands-on experience with the tools and systems used by big data scientists and engineers. Previous programming experience is not required! You will be guided through the basics of using Hadoop with MapReduce, Spark, Pig and Hive. By following along with provided code, you will experience how one can perform predictive modeling and leverage graph analytics to model problems. This specialization will prepare you to ask the right questions about data, communicate effectively with data scientists, and do basic exploration of large, complex datasets. In the final Capstone Project, developed in partnership with data software company Splunk, you’ll apply the skills you learned to do basic analyses of big data.","117,576","9,331"
Data Science,"Everyday Excel, Part 1",https://www.coursera.org/learn/everyday-excel-part-1,NaN,None,"200,531","2,884"
Data Science,Fundamentals of Visualization with Tableau,https://www.coursera.org/learn/data-visualization-tableau,NaN,"In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, we’ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.","176,004","5,854"
